K1,K2,K3,D1,D2,D3,,,,Additional,City,State,,Start Time,Time Zone,,,,Facebook Page,Date
sb,EG,x,,,,Confirm,Take Back WV Tour: Town Hall w Talley (Clay),"We're coming to your city Clay! I want to hear from you!
 
 Join us, for a public town hall meeting - it's free and open to everyone! As a candidate for the United States Congress, it is a must that the people of West Virginia's Second District your say!
 
 Come on out - share your hardships and your hopes for our community, our state and our country! #LetsGo!",,,,"Clay County Courthouse - Clay, WV",17:30:00,4,2018-08-06T17:30:00-0400,https://www.facebook.com/events/294272451343083/,Take Back WV Tour: Town Hall w Talley (Clay),https://www.facebook.com/TalleySergent/,8/6/2018
sb,ykh,EG,,,,Confirm,Umatilla Meet and Greet,"Join host Vickie Read in welcoming Jamie McLeod-Skinner. Meet Jamie and have a chance to share your thoughts, concerns, and questions with her in an intimate setting. Water and coffee will be available.
 *The Umatilla Chamber of Commerce is not endorsing any candidate",,,,"Umatilla Oregon Chamber of Commerce & Visitor Center - Umatilla, OR",16:00:00,7,2018-08-06T16:00:00-0700,https://www.facebook.com/events/249727292522840/,Umatilla Meet and Greet,https://www.facebook.com/JamieForOregon/,8/6/2018
sb,ykh,SA,,,,Confirm,Gun Safety Town Hall with Rep. Seth Moulton,"Jason hosts a town hall with Representative Seth Moulton on gun safety and reforms we should make to keep our families and communities safe. 
 Join us for a panel discussion, featuring: 
 Joe Neguse, CD-2 Candidate 
 Tom Sullivan, HD-37 Candidate
 Jane Dougherty, activist and sister of Sandy Hook shooting victim
 Sandy and Lonnie Phillips, Founders of Survivors Empowered
 Tay Anderson, Former President of Never Again- Colorado
 
 Reserve your spot here: https://events.mobilizeamerica.io/crowforcongress/event/8272/",,,,"14201 E Evans Dr, Aurora, CO 80014, United States -",18:30:00,6,2018-08-07T18:30:00-0600,https://www.facebook.com/events/1907212006005592/,Gun Safety Town Hall with Rep. Seth Moulton,https://www.facebook.com/JasonCrowforCongress/,8/7/2018
sb,ykh,EG,,,,Confirm,2nd Chance Congressional District 1 ALL Candidate Forum,"Hosted By-->Rock County Voter Education Forum:
 A Congressional District 1 Candidate Forum
 (All Candidates For Paul Ryan's Seat Have Been Invited)
 Come early to meet and greet candidates from 5-6 pm
 
 Tokyo Broadcasting System will be filming the event.
 
 This will be your opportunity to ask questions directly to the candidates. Questions will not be pre-selected, rather they will be spontaneously asked by constituents. Make a list of questions and bring them to the forum.
 
 The primary is less than two weeks away. This will be your chance to meet and size up the candidates who want to represent your best interests in Congress.",All Candidates,,,"Traxler Park - Janesville, WI",17:00:00,5,2018-08-08T17:00:00-0500,https://www.facebook.com/events/292774031298577/,2nd Chance Congressional District 1 ALL Candidate Forum,https://www.facebook.com/pnehlen/,8/8/2018
sb,ykh,SA,,,,Confirm,Pearsall Meet & Greet with Gina Ortiz Jones,"Join Gina Ortiz Jones at a Meet & Greet in Pearsall at Garcia's Bar and Grill (205 S. Oak Street) on Tuesday, August 7th, to learn more about what she is doing to fight for change and win in the upcoming November Election. You’ll have fun meeting people in your community and learning about more ways to get involved!
 
 For more information contact Field Organizer Kristian Carranza Thompson at 210.551.1313 or kristian@ginaortizjones.com",,,,Garcia's Bar & Grill -,18:30:00,5,2018-08-07T18:30:00-0500,https://www.facebook.com/events/450218462159192/,Pearsall Meet & Greet with Gina Ortiz Jones,https://www.facebook.com/GinaOrtizJones/,8/7/2018
sb,ykh,SA,,,,Confirm,Political Pop Up,"Come and meet Kara at this casual #popup at Old Chicago Oakview! Come and share your concerns or just chat with Kara.
 
 Pat and Jerry Heliger have graciously provided soft drinks and sandwiches for those who attend!",,,,Old Chicago Oakview -,17:30:00,5,2018-08-07T17:30:00-0500,https://www.facebook.com/events/1979516632338998/,Political Pop Up,https://www.facebook.com/eastmanforcongress/,8/7/2018
sb,ykh,SA,,,,Confirm,Josh Hawley for Senate Primary Election Victory Party,"Please join Josh Hawley in Springfield, MO for his Primary Election Victory Party at the University Plaza Convention Center August 7th! 
 
 Note: The University Plaza Convention Center is located on the north side of the hotel. 
 
 
 If you have any questions, email rsvp@joshhawley.com or call/text (573) 340-5834.",,,,"University Plaza Hotel & Convention Center - Springfield, MO",18:00:00,5,2018-08-07T18:00:00-0500,https://www.facebook.com/events/384611985398217/,Josh Hawley for Senate Primary Election Victory Party,https://www.facebook.com/HawleyMO/,8/7/2018
sb,ykh,SA,,,,Confirm,Jamie at National Night Out - Milton-Freewater,Join Jamie at a Meet and Greet and in the Streets in Milton-Freewater as she celebrates this annual community building event promoting police-community partnerships.,,,,"728 S Columbia St, Milton-Freewater, OR 97862-1424, United States -",17:00:00,7,2018-08-07T17:00:00-0700,https://www.facebook.com/events/1422176857927165/,Jamie at National Night Out - Milton-Freewater,https://www.facebook.com/JamieForOregon/,8/7/2018
sb,ykh,SA,,,,Confirm,Take Back WV Tour: Town Hall w Talley (Lewis County),"We're coming to your city Weston! I want to hear from you!
 
 Join us, for a public town hall meeting - it's free and open to everyone! As a candidate for the United States Congress, it is a must that the people of West Virginia's Second District your say!
 
 Come on out - share your hardships and your hopes for our community, our state and our country! #LetsGo!",,,,"Wendy's - Weston, WV",17:00:00,4,2018-08-07T17:00:00-0400,https://www.facebook.com/events/219349362101839/,Take Back WV Tour: Town Hall w Talley (Lewis County),https://www.facebook.com/TalleySergent/,8/7/2018
sb,ykh,EG,,,,Confirm,Fitchburg Town Hall with Elizabeth Warren,"Elizabeth Warren is hosting a town hall in Fitchburg on Thursday, August 9th, 2018!
 
 She'll be talking and answering questions about how she's holding the Trump Administration accountable and fighting for Massachusetts families in the Senate. Come meet our team and learn how you can get in this fight in 2018! 
 
 If you are in need of ADA seating or any other accommodation at the event, please let us know in the comment section of our RSVP form and we will work to make our event as comfortable as we can for you.
 
 Doors open at 6 PM and the town hall will begin at 6:30 PM. Admission is first come, first served and signing up does not guarantee entry. We're sorry, but signs/posters will not be permitted inside the event. 
 
 This event is free and open to the public, but please RSVP here: 
 https://my.elizabethwarren.com/fitchburgtownhallfb",,,,"Conlon Fine Arts Building, Fitchburg State University, 367 North Street, Fitchburg, MA 01420 -",18:00:00,4,2018-08-09T18:00:00-0400,https://www.facebook.com/events/219561625420320/,Fitchburg Town Hall with Elizabeth Warren,https://www.facebook.com/ElizabethWarren/,8/9/2018
EG,x,x,sb,,,Confirm,Fort Smith Barnstorm,"barn•storm (ˈbɑrnˌstɔrm) 
 v.i.
 1. to conduct a campaign in rural areas by making brief stops in many small towns.
 2. to tour small towns giving theatrical performances.
 
 Democrats can win in November, but only if we can get people excited and mobilized. Join us and your neighbors who want to change the way the state is moving, who believe that Democrats care about people and can think for ourselves, and who want to make the world a better place. The Barnstorms that we envision around the state are the launching step for energizing a solid base of volunteers for every democratic campaign this election season. 
 
 
 In order to do this, we will be holding rallies and trainings across the state. Candidates will speak to constituents, and attendees will then receive world-class volunteer training including theory of change, storytelling, and other tools to concretely impact the 2018 election and beyond.
 
 Please RSVP for our Fort Smith Barnstorm at the following address: https://secure.ngpvan.com/hU8qWgaipUyQSlKnA9JT4A2",,,,"Riverfront Park - Fort Smith, AR",18:00:00,5,2018-08-09T18:00:00-0500,https://www.facebook.com/events/260373431434551/,Fort Smith Barnstorm,https://www.facebook.com/JaredforGov/,8/9/2018
sb,ykh,EG,,,,Confirm,Sutton Meet & Greet Vermillion,"Senator Billie Sutton will be in Vermillion at Dakota Brick House on Thursday, August 9, and he'd love to meet you!
 
 Sutton for South Dakota Meet and Greet
 Thursday, Aug 9th from 5pm to 6:30pm 
 Dakota Brick House | 15 W Main St | Vermillion, SD 
 
 You are invited to show support for Billie by attending a a meet and greet fundraising reception Thursday evening at Dakota Brick House!",,,,"Dakota Brick House - Vermillion, SD",17:00:00,5,2018-08-09T17:00:00-0500,https://www.facebook.com/events/1840930462662266/,Sutton Meet & Greet Vermillion,https://www.facebook.com/BillieSutton4SD/,8/9/2018
sb,ykh,EG,,,,Confirm,Steve with the Tri-Town Dems,"Join Steve with the Tri-Town (Farmington, Milton, and New Durham) at the Emma Ramsey Center in Milton on August 9th, at 7pm. Meet Steve and bring your questions!",,,,"30 Charles St, Milton, NH 03851-4669, United States -",19:00:00,4,2018-08-09T19:00:00-0400,https://www.facebook.com/events/2232509443639474/,Steve with the Tri-Town Dems,https://www.facebook.com/marchandforNH/,8/9/2018
sb,ykh,EG,,,,Confirm,Ekalaka Meet and Greet,"Join Kathleen for a meet and greet at the Carter County Senior Center in Ekalaka on August 9th. Don't miss your chance to meet Kathleen in person, hear her speak, and ask her questions! This event is free and open to the public. 
 
 Feel free to share this event and invite others. Hope to see you there!
 
 If you are unable to attend but would like to donate please click the link below.
 
 https://act.myngp.com/Forms/-405807685504726272",,,,"106 Main St S, Ekalaka, MT 59324, United States -",11:30:00,6,2018-08-09T11:30:00-0600,https://www.facebook.com/events/677519875919275/,Ekalaka Meet and Greet,https://www.facebook.com/Williamsformontana/,8/9/2018
sb,ykh,EG,,,,Confirm,Hillsborough Happy Hour,Join Tom for Happy Hour at the Landing. Light fare provided and cash bar. Come hang out and meet Tom!,,,,"The Landing Hillsborough - Hillsborough, NJ",17:30:00,4,2018-08-09T17:30:00-0400,https://www.facebook.com/events/2223202877961961/,Hillsborough Happy Hour,https://www.facebook.com/malinowskifornj/,8/9/2018
sb,ykh,EG,,,,Confirm,Jamie at the Umatilla County Fair Booth,Join Jamie McLeod-Skinner as she listens to voters and your concerns at the Umatilla County Fair.,,,,"1705 E Airport Rd, Hermiston, OR 97838-8509, United States -",14:00:00,7,2018-08-09T14:00:00-0700,https://www.facebook.com/events/457096524757099/,Jamie at the Umatilla County Fair Booth,https://www.facebook.com/JamieForOregon/,8/9/2018
sb,ykh,EG,,,,Confirm,Lunch with Chip Roy in Johnson City,"We are pleased to invite you to attend lunch with Chip Roy and other influencers from across Johnson City and Blanco County on August 9th from Noon to 1:30PM at East Main Grill in Johnson City. Please RSVP using this eventbrite.
 
 We look forward to seeing you! 
 
 Lunch will be available for purchase.",,,,"The East Main Grill - Johnson City, TX",12:00:00,5,2018-08-09T12:00:00-0500,https://www.facebook.com/events/453634328438573/,Lunch with Chip Roy in Johnson City,https://www.facebook.com/ChipRoyforCongress/,8/9/2018
sb,ykh,EG,,,,Confirm,Rally with Chip Roy in Blanco County,"We are pleased to invite you to attend a rally with Chip Roy and HD45 candidate Ken Strange on August 9th in Blanco County. Please RSVP below.
 
 Come help Chip and Ken celebrate their birthdays with cake and light refreshments.
 
 See y'all there!",,,,"Old Blanco County Courthouse - Blanco, TX",18:00:00,5,2018-08-09T18:00:00-0500,https://www.facebook.com/events/242549053052066/,Rally with Chip Roy in Blanco County,https://www.facebook.com/ChipRoyforCongress/,8/9/2018
ykh,EG,x,sb,,,Confirm,Jackson Meet & Greet,"Thank you to our Jackson team for hosting Harriet at the library. Bring your questions, suggestions and concerns and visit with Harriet.",,,,"Teton County Library - Jackson, WY",17:00:00,6,2018-08-10T17:00:00-0600,https://www.facebook.com/events/1644206145687858/,Jackson Meet & Greet,https://www.facebook.com/harriethageman/,8/10/2018
sb,ykh,EG,,,,Confirm,AV Fair Parade w/ Katie Hill!,"Join Katie, other democratic candidates, and fellow Democrats at the AV Fair Parade as we march and show our progressive values! We'll let you know were to meet up with us and the other Democratic organizations participating. 
 
 Feel free to email jill@katiehillforcongress.com with any questions.",,,,"Lancaster Blvd, Lancaster, CA 93536, United States -",8:00:00,7,2018-08-11T08:00:00-0700,https://www.facebook.com/events/368365113694575/,AV Fair Parade w/ Katie Hill!,https://www.facebook.com/KatieHillforCongress/,8/11/2018
sb,ykh,EG,,,,Confirm,Come meet Kathleen at Headframe Spirits,"Come meet Kathleen Williams for drinks at Headframe Spirits in Butte! The race is heating up and together we can unseat Greg Gianforte. See you there!
 
 ***No contribution is required to attend this event
 Suggested contribution level: $50
 
 Thanks to Headframe Spirits for providing the venue.",,,,-,17:00:00,6,2018-08-11T17:00:00-0600,https://www.facebook.com/events/215125322482784/,Come meet Kathleen at Headframe Spirits,https://www.facebook.com/Williamsformontana/,8/11/2018
sb,ykh,SA,,,,Confirm,Town Hall with Mike Siegel: Action Before the Storm,"Join Mike Siegel and an expert panel at a town hall for constituents and concerned members of the community to discuss severe flood events affecting the region, the structural causes of these events, and long-term solutions. 
 
 Now more than ever, we must implement equitable solutions for working people, and hold accountable politicians who failed to protect our families and neighbors. After the panel discussion, we will hear from effected community members in a moderated open-mic about their experiences. There will be FREE food and drink, and the event is family-friendly!!! 
 
 Our panel will include: Mike Siegel (Democratic Nominee, TX10), Lupe Valdez (Democratic Nominee, Governor of TX), State Sen. Sylvia Garcia (Democratic Nominee, TX29), Gina Calanni (Democratic Nominee, HD132), Penny Shaw (Democratic Nominee, Harris Co. Commissioners Court, Pct.4), and more! 
 
 Please share this event and invite your friends and family to attend! 
 
 We hope y'all will join us on August 7th!",,,,"Noah's Event Venue 21402 Merchants Way, Katy, TX 77449-2500, United States -",18:30:00,5,2018-08-07T18:30:00-0500,https://www.facebook.com/events/218906168829381/,Town Hall with Mike Siegel: Action Before the Storm,https://www.facebook.com/LupeForTexas/,8/7/2018
sb,ykh,SA,,,,Confirm,Candidate Coffee Hour,"Join Congressional Candidate Liuba Grechen Shirley on Wednesday, August 8th for a conversation on women's healthcare. Voice your opinions, concerns, and share your story with Liuba!
 
 **Candidate Coffee Hour**
 Candidate Coffee Hour is a bimonthly gathering for residents of the 2nd District to meet Liuba Grechen Shirley and talk about the issues. Topics will vary by week. All are welcome!",,,,"164 Lincoln Ave, Sayville, NY 11782-1408, United States -",17:30:00,4,2018-08-08T17:30:00-0400,https://www.facebook.com/events/1606397489471774/,Candidate Coffee Hour,https://www.facebook.com/LiubaForCongress/,8/8/2018
sb,ykh,SA,,,,Confirm,Dover/Camden Community Town Hall,"Join us for a Community Town Hall to discuss the issues plaguing the Dover/Camden Area. 
 Topics: Opioid Crisis, Veterans VA Healthcare, Economic Future/Jobs, Crime, school safety
 
 Panel: Gene Truono, Mayor Justin King, Marc Garduno (VFW), Robin Hayes M.S., R.D., C.D.E., L.D.N., Chief Marvin C. Mailey, Dover Police Chief",,,,-,18:30:00,4,2018-08-08T18:30:00-0400,https://www.facebook.com/events/1697099893719897/,Dover/Camden Community Town Hall,https://www.facebook.com/VoteTruono/,8/8/2018
sb,ykh,SA,,,,Confirm,Fixing Our Democracy: A Panel Discussion on Democracy Reform,"Maryland has led a nationwide effort to fix our democracy and return to government of, by and for the people. Across our great state, committed citizens and thoughtful legislators have joined forces to advance positive reforms that will help improve the responsiveness, transparency and accountability of state and local government. In Congress, Democracy Reform Task Force Chair Rep. John Sarbanes is fighting to advance similar reforms.
 
 Join Congressman Sarbanes, Baltimore City Councilman Kristerfer Burnett and Emily Scarr of Maryland PIRG for a panel discussion on the democracy reforms taking hold in Maryland and how that progress is paving the way for once-in-a-generation success in Congress.",,,,"Friends of the Southeast Anchor Library - Baltimore, MD",18:15:00,4,2018-08-08T18:15:00-0400,https://www.facebook.com/events/2323075134374529/,Fixing Our Democracy: A Panel Discussion on Democracy Reform,https://www.facebook.com/RepSarbanes/,8/8/2018
sb,ykh,SA,,,,Confirm,Join Jane in Beatrice,"Please Join Amanda McKinney for a reception with Jane Raybould, Candidate for U.S. Senate, at Vintage Venue. 
 
 Suggested Contribution:
 Host: $500
 Sponsor: $250
 Patron: $100
 Attendee: $50",,,,"Vintage Venue, 620 Court St, Beatrice, NE 68310-3924, United States -",17:00:00,5,2018-08-08T17:00:00-0500,https://www.facebook.com/events/256917544920870/,Join Jane in Beatrice,https://www.facebook.com/JaneRaybouldNE/,8/8/2018
sb,ykh,SA,,,,Confirm,Latinx Community Conversation & Tea,Join Leslie and Creciendo Juntos for some tea and a community conversation about the Latinx community in Virginia's 5th. All are welcome to come!,,,,"522 2nd Street Southeast Suite 937 Charlottesville, VA -",17:00:00,4,2018-08-08T17:00:00-0400,https://www.facebook.com/events/211067166229291/,Latinx Community Conversation & Tea,https://www.facebook.com/LeslieforCongress/,8/8/2018
sb,ykh,sa,,,,Confirm,November Calling,"Come meet Perry Gershon and Liuba Grechen Shirley! They will be speaking and answering any questions you have about how they plan to win in November. Join us and help take back Congress!
 
 RSVP here: events.mobilizeamerica.io/gershonforcongress/event/8983/",,,,"Sayville Congregational United Church of Christ - Sayville, NY",19:00:00,4,2018-08-08T19:00:00-0400,https://www.facebook.com/events/235977540364087/,November Calling,https://www.facebook.com/perry4congress/,8/8/2018
sb,ykh,sa,,,,Confirm,Take Back WV Tour: Town Hall with Talley (Upshur County),"We're coming to your city Buckhannon! I want to hear from you!
 
 Join us, for a public town hall meeting - it's free and open to everyone! As a candidate for the United States Congress, it is a must that the people of West Virginia's Second District your say!
 
 Come on out - share your hardships and your hopes for our community, our state and our country! #LetsGo!",,,,-,17:00:00,4,2018-08-08T17:00:00-0400,https://www.facebook.com/events/678004245880575/,Take Back WV Tour: Town Hall with Talley (Upshur County),https://www.facebook.com/TalleySergent/,8/8/2018
sb,EG,x,,,,Confirm,Woburn Town Hall with Elizabeth Warren,"Elizabeth Warren is hosting a town hall in Woburn on Wednesday, August 8th, 2018!
 
 She'll be talking and answering questions about how she's holding the Trump Administration accountable and fighting for Massachusetts families in the Senate. Come meet our team and learn how you can get in this fight in 2018! 
 
 If you are in need of ADA seating or any other accommodation at the event, please let us know in the comment section of our RSVP form and we will work to make our event as comfortable as we can for you.
 
 Doors open at 6 PM and the town hall will begin at 6:30 PM. Admission is first come, first served and signing up does not guarantee entry. We're sorry, but signs/posters will not be permitted inside the event. 
 
 This event is free and open to the public, but please RSVP here: 
 https://my.elizabethwarren.com/woburntownhallfb",,,,"Woburn Memorial High School - Woburn, MA",18:00:00,4,2018-08-08T18:00:00-0400,https://www.facebook.com/events/1967584643533272/,Woburn Town Hall with Elizabeth Warren,https://www.facebook.com/ElizabethWarren/,8/8/2018
sb,ykh,EG,,,,Confirm,Meet Jess: Willow Street,"Jess King is a working mom running for Congress to represent all working families. Jess knows that leaders in Washington D.C. have failed to stand up to wealthy special interests, and she’s ready to work for all of us. The grassroots movement to elect Jess King to Congress is growing across Lancaster and Southern York counties. If you’ve been waiting for a moment to get involved, now is the time.
 
 From August 10th to August 12th, we’re hosting ELEVEN big campaign events across Pennsylvania’s 11th Congressional district. This is a place for folks to meet Jess, learn about our grassroots campaign, meet your neighbors, and join our voter outreach programs. Bring your friends, your family, and your questions.
 
 We hope to see you in Willow Street on August 10th at 5:30PM",,,,"Willow Street Lions Club Community Room - Willow Street, PA",17:30:00,4,2018-08-10T17:30:00-0400,https://www.facebook.com/events/277719342993833/,Meet Jess: Willow Street,https://www.facebook.com/jesskingforcongress/,8/10/2018
sb,ykh,EG,,,,Confirm,Reception in Support of Audrey for Congress,"Join hosts Elizabeth Goldblatt and Amy Louis in meeting California District 1 Congressional candidate Audrey Denney on August 10th from 5-7:00 PM at the Chico Women's Club, located at 593 E. 3rd Street in Chico, CA! Stop by, say hello, and share the issues most important to you. 
 
 -Appetizers from Bacio Catering & Carryout
 -Delicious sweets from Mim's Bakery
 -Music from D.J. Jake Sprecher (KZFR) 
 
 To RSVP with or without a contribution, please use this link: secure.actblue.com/donate/denney0810
 
 -------------------------------------------------------
 www.AudreyforCongress.com #AudreyforCongress
 Audrey Denney is running for congress in California’s 1st Congressional District, which includes Butte, Lassen, Modoc, Plumas, Shasta, Sierra, Siskiyou, Tehama, Nevada, Glenn, and Placer counties. Opponent: Doug LaMalfa. Vote on November 6th!",,,,Chico Women's Club -,17:00:00,7,2018-08-10T17:00:00-0700,https://www.facebook.com/events/2310200635671607/,Reception in Support of Audrey for Congress,https://www.facebook.com/audreyforcongress/,8/10/2018
sb,ykh,EG,,,,Confirm,Stillwater County Fundraiser/House Party,"Join Kathleen Williams at the home of Gary and Clara Borland to discuss the need to elect Democrats up and down the ballot this November! Kathleen is interested in hearing from voters what their priorities are at the federal level and is happy to answer questions. She wants to hear your concerns and hopes for our state.
 
 This fundraiser will take place on Friday, August 10 at 5pm at the Borland's home at 506 Stillwater River Road in Absarokee. If you are planning on attending, we ask that you bring a dish, big or small, for a pot-luck style meal.
 
 A $50 contribution is suggested to attend-- please RSVP on this event page and make your donation to link below. You may also bring a check to the event. We need your support to beat Greg Gianforte! If you are not in a position to contribute at this time, please feel welcome to attend the event regardless. If you are unable to attend but would still like to donate, use the link below.
 
 https://act.myngp.com/Forms/8457276381160409856
 
 There will be multiple candidates for different offices in attendance. Please bring multiple checks if you would like to contribute to more than one of the candidates in attendance.
 
 We need your support as we're less than 100 days from the election!",,,,"506 Stillwater River Rd, Absarokee, MT 59001-6218, United States -",17:00:00,6,2018-08-10T17:00:00-0600,https://www.facebook.com/events/283866258857557/,Stillwater County Fundraiser/House Party,https://www.facebook.com/Williamsformontana/,8/10/2018
EG,x,x,sb,ykh,,Confirm,Little Rock Barnstorm,"barn•storm (ˈbɑrnˌstɔrm) 
 v.i.
 1. to conduct a campaign in rural areas by making brief stops in many small towns.
 2. to tour small towns giving theatrical performances.
 
 Democrats can win in November, but only if we can get people excited and mobilized. Join us and your neighbors who want to change the way the state is moving, who believe that Democrats care about people and can think for ourselves, and who want to make the world a better place. The Barnstorms that we envision around the state are the launching step for energizing a solid base of volunteers for every democratic campaign this election season. 
 
 In order to do this, we will be holding rallies and trainings across the state. Candidates will speak to constituents, and attendees will then receive world-class volunteer training including theory of change, storytelling, and other tools to concretely impact the 2018 election and beyond.
 
 Please RSVP for our Little Rock Barnstorm at the following address: 
 https://secure.ngpvan.com/ThntvQByS0CvmksubvVtEQ2",,,,"Darragh Center Auditorium - Little Rock, AR",14:00:00,5,2018-08-12T14:00:00-0500,https://www.facebook.com/events/255264445205087/,Little Rock Barnstorm,https://www.facebook.com/TuckerForCongress/,8/12/2018
sb,ykh,EG,,,,Confirm,Sussex Co. Republican Candidate Forum,Republican US Senate Forum,,,,"Cheer Community Center - Georgetown, DE",17:15:00,4,2018-08-13T17:15:00-0400,https://www.facebook.com/events/829581417232578/,Sussex Co. Republican Candidate Forum,https://www.facebook.com/VoteTruono/,8/13/2018
sb,ykh,EG,,,,Confirm,Chip Roy Rally at Buzzie's in Kerrville,EG,,,,"Buzzie's Bar-B-Q - Kerrville, TX",17:30:00,5,2018-08-14T17:30:00-0500,https://www.facebook.com/events/1856893367939358/,Chip Roy Rally at Buzzie's in Kerrville,https://www.facebook.com/ChipRoyforCongress/,8/14/2018
sb,ykh,EG,,,,Confirm,Hamilton Meet and Greet,"Join Kathleen for a meet and greet at Mineshaft Pasty Co in Hamilton on August 14th. Don't miss your chance to meet Kathleen in person, hear her speak, and ask her questions! This event is free and open to the public. 
 
 Feel free to share this event and invite others. Hope to see you there!
 
 If you are unable to attend but would like to donate please click the link below.
 
 https://act.myngp.com/Forms/8241103599046626048",,,,"111 N 2nd St, Hamilton, MT 59840 -",13:00:00,6,2018-08-14T13:00:00-0600,https://www.facebook.com/events/275856396555836/,Hamilton Meet and Greet,https://www.facebook.com/Williamsformontana/,8/14/2018
sb,ykh,EG,,,,Confirm,Join Rep. O'Halleran for a Tucson House Party,"Join #TeamOHalleran and our host committee for a house party in Tucson with special guest the Honorable Ron Barber.
 
 We will be celebrating at the home of Renee Morton at 526 S Stone Ave in Tucson.
 
 To contribute online and RSVP automatically, please visit: https://secure.actblue.com/donate/180630Flagstaff
 
 Our Host Committee:
 Renee Morton, Ralph Atchue. Margarita Bernal, Ed and Jan Booth, Pete Hershberger, Holly Lyon, and Mayor Jonathan Rothschild.
 
 Individual host levels:
 -Host: $500
 -Co-host: $250
 -Sponsor: $100
 -Friend: $50
 (more if you can, less if you can't!)
 
 To contribute online and RSVP, please visit: https://secure.actblue.com/donate/180814tucson
 
 RSVP to Charlie Burgin by August 12th at charlie@tomohalleran.com or (480) 227-0333.
 
 Checks can be mailed to:
 Tom O'Halleran for Congress, PO Box 63992, Phoenix AZ 85082",,,,"526 S Stone Ave, Tucson, AZ 85701-2308, United States -",17:30:00,7,2018-08-14T17:30:00-0700,https://www.facebook.com/events/231762660779353/,Join Rep. O'Halleran for a Tucson House Party,https://www.facebook.com/ohalleranforaz/,8/14/2018
sb,ykh,EG,,,,Confirm,Lunch at The Hunt Store with Republican Congressional Candidate Chip Roy,"Please join Chip Roy for a meet and greet at The Hunt Store in Hunt, TX on August 14th from noon - 1:30 PM. The event will feature an address from Chip Roy followed by a Q&A session.
 
 We cannot wait to see all of yall! 
 
 Meals will be available for purchase",,,,"The Hunt Store - Hunt, TX",12:00:00,5,2018-08-14T12:00:00-0500,https://www.facebook.com/events/428782687611475/,Lunch at The Hunt Store with Republican Congressional Candidate Chip Roy,https://www.facebook.com/ChipRoyforCongress/,8/14/2018
sb,ykh,EG,,,,Confirm,Springdale Town Hall,"Join Mahony for Congress for a Town Hall! Voters can come out, ask questions, and get to know Josh in advance of the November 6th election!",,,,"Jones Center For Families - Springdale, AR",18:00:00,5,2018-08-16T18:00:00-0500,https://www.facebook.com/events/1844409202534620/,Springdale Town Hall,https://www.facebook.com/mahonyarkansas/,8/16/2018
ykh,EG,x,sb,,,Confirm,Springerville Meet & Greet,"Avery's in Springerville invites you to a meet & greet for Tiffany Shedd on Thursday, August 16 from 6-7:30 PM.
 
 Please direct questions or RSVP to Lynndy Smith at Lynndy@SheddForCongress.com or (928) 985-1920
 
 Tiffany Shedd is a farmer, agribusiness & water attorney, and small business owner running in Arizona's 1st District.",,,,"262 W Main St, Springerville, AZ 85938-7204, United States -",18:00:00,7,2018-08-16T18:00:00-0700,https://www.facebook.com/events/493387481123425/,Springerville Meet & Greet,https://www.facebook.com/sheddforcongress/,8/16/2018
sb,ykh,EG,,,,Confirm,Oceanside House Party,"Would you like to meet Mike? Join us at our next house party! If you can't make it, we're holding other Oceanside events on August 13th and 21st.
 
 If you'd like to attend, please sign up here: https://events.mobilizeamerica.io/levinforcongress/event/8552/",,,,"Oceanside, CA - Oceanside, CA",18:30:00,7,2018-08-24T18:30:00-0700,https://www.facebook.com/events/264922830770249/,Oceanside House Party,https://www.facebook.com/LevinforCongress/,8/24/2018
EG,x,x,sb,ykh,,Confirm,Campaign Kickoff Cook-Off,"It's so hot, it's BLUE!
 
 The Sharpstown Democrats and the Harris County Democratic Party are kicking off the campaign season for Harris County with a chili cook-off and a family-friendly party!
 
 Join your fellow Democrats for an extravaganza in Southwest Houston to build momentum in an underserved community. We are pleased to announce our first confirmed guests, Congressman Joaquin Castro, gubernatorial candidate Lupe Valdez, Kim Olson for Commissioner of Agriculture, Justin Nelson for Attorney General, and Roman McAllen for Railroad Commission of Texas, plus many local candidates. Gene Wu will serve as the Honorary Chair. More guests will be announced as they are confirmed.
 
 Turning Texas BLUE needs all of YOU, and that means all of Harris County. Looking forward to seeing you there!","Congressman Joaquin Castro
Gubernatorial candidate Lupe Valdez",,,"Neighborhood Centers Inc. Baker- Ripley Campus - Houston, TX",11:00:00,5,2018-08-25T11:00:00-0500,https://www.facebook.com/events/193637661259938/,Campaign Kickoff Cook-Off,https://www.facebook.com/LupeForTexas/,8/25/2018
sb,ykh,EG,,,,Confirm,Healthcare Town Hall,"Healthcare Town Hall w/ CA-10, Josh Harder, Candidate for Congress
 
 Wednesday, August 29
 6:00 - 8:00 PM
 1700 McHenry Ave. Suite 60B Modesto, CA 95350
 
 You are cordially invited to join Josh Harder (CA-10) to discuss the needs of healthcare in the Central Valley. Josh wants to hear and address your concerns.
 
 RSVP to Claris@HarderforCongress.com or (209) 214-8089",,,,"1700 McHenry Ave, Suite 60B, Modesto CA -",18:00:00,7,2018-08-29T18:00:00-0700,https://www.facebook.com/events/1055342291315200/,Healthcare Town Hall,https://www.facebook.com/harderforcongress/,8/29/2018
